"","X0.01","X4","X999","X0.840257"
"1",0.01,4,999,0.840257
"2",0.01,5,894,0.840604
"3",0.01,6,787,0.840311
"4",0.01,7,521,0.840056
"5",0.01,8,422,0.83882
"6",0.02,4,511,0.840137
"7",0.02,5,484,0.840254
"8",0.02,6,321,0.840189
"9",0.02,7,285,0.839839
"10",0.02,8,185,0.838428
"11",0.03,4,449,0.840177
"12",0.03,5,311,0.840441
"13",0.03,6,172,0.840157
"14",0.03,7,166,0.839499
"15",0.03,8,141,0.83851
"16",0.04,4,385,0.839745
"17",0.04,5,193,0.840206
"18",0.04,6,149,0.840285
"19",0.04,7,123,0.839449
"20",0.04,8,114,0.838625
"21",0.05,4,257,0.839959
"22",0.05,5,155,0.840408
"23",0.05,6,108,0.840266
"24",0.05,7,118,0.83959
"25",0.05,8,79,0.837927
